,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
11109,23,42720,RENT,1.0,EDUCATION,D,10000,16.89,1,0.23,Y,4
10764,24,40000,RENT,5.0,PERSONAL,A,10000,7.88,0,0.25,N,3
30673,36,60996,MORTGAGE,8.0,DEBTCONSOLIDATION,B,15000,9.63,0,0.25,N,14
4534,22,41000,MORTGAGE,4.0,VENTURE,A,6000,8.59,0,0.15,N,4
18561,29,54000,RENT,0.0,EDUCATION,B,18000,10.99,1,0.33,N,6
30859,37,67600,MORTGAGE,6.0,EDUCATION,B,33000,9.99,0,0.49,N,15
98,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4
14736,24,113000,MORTGAGE,8.0,VENTURE,A,2100,7.4,0,0.02,N,3
32328,51,18408,RENT,,PERSONAL,C,1000,14.65,1,0.05,Y,20
26136,31,84000,MORTGAGE,3.0,HOMEIMPROVEMENT,G,25000,17.34,1,0.3,Y,5
30603,39,60000,OWN,7.0,VENTURE,D,6800,17.49,0,0.11,Y,14
13948,24,32000,OWN,3.0,HOMEIMPROVEMENT,B,15000,,0,0.47,N,3
23557,32,145000,RENT,2.0,PERSONAL,B,8800,10.59,0,0.06,N,7
21633,28,50000,MORTGAGE,0.0,PERSONAL,A,9000,,0,0.18,N,7
26906,30,118000,MORTGAGE,0.0,PERSONAL,C,5000,13.92,0,0.04,Y,9
19654,34,35000,RENT,0.0,MEDICAL,B,3200,11.26,0,0.09,N,6
27145,33,125000,MORTGAGE,17.0,MEDICAL,B,8800,10.59,0,0.07,N,7
15132,26,18000,RENT,0.0,EDUCATION,B,1500,11.36,0,0.08,N,2
9692,22,63400,MORTGAGE,6.0,PERSONAL,B,10500,9.99,0,0.17,N,2
9676,26,63000,MORTGAGE,3.0,HOMEIMPROVEMENT,C,3800,12.04,0,0.06,Y,4
13523,23,81000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,16000,11.99,1,0.2,N,3
27761,28,199000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,10000,9.32,0,0.05,N,10
31433,45,33600,OWN,14.0,VENTURE,A,4000,6.39,0,0.12,N,11
21213,28,45678,OWN,12.0,PERSONAL,D,8000,15.58,0,0.18,N,10
5297,22,45000,OWN,4.0,PERSONAL,A,7000,6.62,0,0.16,N,3
17934,29,12000,OWN,0.0,HOMEIMPROVEMENT,B,4500,11.14,1,0.38,N,6
24507,28,73500,OWN,12.0,HOMEIMPROVEMENT,B,10000,9.88,0,0.14,N,10
8334,22,51000,RENT,6.0,EDUCATION,C,7500,,0,0.15,N,4
12950,25,74000,RENT,0.0,VENTURE,D,12000,14.11,1,0.16,Y,2
9351,23,61200,MORTGAGE,2.0,DEBTCONSOLIDATION,A,10000,7.88,0,0.16,N,3
17243,24,30000,RENT,6.0,EDUCATION,B,5000,12.69,1,0.17,N,2
17289,22,60000,RENT,0.0,EDUCATION,B,15000,11.71,0,0.25,N,3
18748,30,75000,RENT,0.0,EDUCATION,A,16000,8.9,0,0.21,N,10
14060,26,100000,MORTGAGE,4.0,EDUCATION,A,5000,6.92,0,0.05,N,4
30575,36,60000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,17050,12.69,0,0.28,N,14
11184,22,50000,RENT,6.0,EDUCATION,C,10000,13.57,0,0.2,Y,3
23707,30,65000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,7500,6.17,0,0.12,N,9
15190,26,53307,RENT,5.0,VENTURE,B,15000,10.39,0,0.28,N,4
30669,36,24000,RENT,1.0,EDUCATION,B,5000,10.36,0,0.21,N,17
14221,23,102000,MORTGAGE,5.0,PERSONAL,A,35000,7.9,0,0.34,N,3
2381,22,32000,MORTGAGE,3.0,EDUCATION,A,6000,8.49,0,0.19,N,2
27709,30,170000,MORTGAGE,2.0,VENTURE,B,14000,10.62,0,0.08,N,6
1752,25,12000,RENT,2.0,HOMEIMPROVEMENT,B,2000,11.89,1,0.17,N,4
20450,28,20000,RENT,2.0,MEDICAL,A,4800,,0,0.24,N,8
11078,21,48000,RENT,1.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.21,N,2
13236,23,25960,RENT,1.0,VENTURE,B,12250,10.37,1,0.47,N,4
16827,21,65000,MORTGAGE,5.0,EDUCATION,A,10000,6.03,0,0.15,N,3
8766,22,60000,MORTGAGE,1.0,MEDICAL,B,6750,10.99,0,0.11,N,4
25603,30,36000,OWN,5.0,VENTURE,A,4800,,0,0.13,N,6
22677,30,46800,RENT,0.0,EDUCATION,A,7500,7.88,0,0.16,N,10
17036,21,87500,MORTGAGE,5.0,EDUCATION,C,25000,13.98,0,0.29,Y,3
20030,31,110000,RENT,2.0,PERSONAL,A,3650,9.63,0,0.03,N,6
7065,25,56004,RENT,3.0,MEDICAL,C,7000,14.22,0,0.12,N,4
28334,32,47900,RENT,2.0,EDUCATION,A,11000,7.51,0,0.23,N,7
16878,22,30000,RENT,2.0,VENTURE,B,3600,10.99,0,0.12,N,4
19169,34,50000,RENT,1.0,EDUCATION,C,2400,13.49,0,0.05,Y,9
31403,36,92000,MORTGAGE,18.0,MEDICAL,A,4000,7.29,0,0.04,N,11
30057,36,45000,MORTGAGE,2.0,EDUCATION,A,7000,7.14,0,0.16,N,14
30353,38,52000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,15250,7.88,0,0.29,N,15
17933,28,96000,RENT,3.0,HOMEIMPROVEMENT,A,28000,7.9,0,0.29,N,10
30637,37,60000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,12000,12.73,0,0.2,N,15
2965,24,12000,RENT,0.0,PERSONAL,A,3200,5.99,1,0.27,N,3
31979,36,45600,MORTGAGE,6.0,VENTURE,C,10000,13.49,0,0.22,Y,15
25829,28,90000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,4000,8.0,0,0.04,N,6
14550,25,42000,RENT,2.0,MEDICAL,B,2000,9.25,0,0.05,N,3
8168,22,56000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.36,N,4
21116,29,45000,OWN,4.0,VENTURE,B,20000,10.62,0,0.44,N,6
14389,25,30000,OWN,3.0,HOMEIMPROVEMENT,B,11500,11.36,0,0.38,N,4
28295,32,18000,OWN,0.0,VENTURE,A,4750,7.88,1,0.26,N,6
16796,26,89000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,8000,10.99,0,0.09,N,3
24141,27,41500,RENT,0.0,MEDICAL,C,10000,11.09,0,0.24,Y,6
19771,27,36000,MORTGAGE,6.0,VENTURE,B,4000,11.49,0,0.11,N,9
13942,23,98400,MORTGAGE,0.0,EDUCATION,B,10000,11.14,0,0.1,N,4
22234,29,34000,RENT,2.0,DEBTCONSOLIDATION,B,6400,6.0,0,0.19,N,8
3036,24,65004,RENT,0.0,HOMEIMPROVEMENT,B,3200,9.99,0,0.05,N,4
27928,32,75000,RENT,3.0,HOMEIMPROVEMENT,A,10000,7.29,0,0.13,N,7
19923,27,36996,MORTGAGE,4.0,DEBTCONSOLIDATION,B,8800,11.48,0,0.24,N,6
29904,42,41000,MORTGAGE,17.0,EDUCATION,B,10000,10.99,0,0.24,N,12
25292,31,60000,RENT,2.0,PERSONAL,C,12000,13.98,0,0.2,N,5
25732,27,35196,RENT,4.0,MEDICAL,C,12250,13.23,1,0.35,N,7
12779,23,72000,RENT,7.0,VENTURE,B,12000,9.99,0,0.17,N,3
26528,28,105000,MORTGAGE,8.0,VENTURE,B,12000,9.63,0,0.11,N,10
29826,38,50000,RENT,5.0,VENTURE,A,4000,7.88,0,0.08,N,12
15900,24,300000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,35000,9.99,0,0.12,N,3
9167,23,60000,MORTGAGE,6.0,PERSONAL,A,3350,,0,0.06,N,4
11817,26,85500,RENT,0.0,EDUCATION,A,10000,,0,0.12,N,2
4582,24,41500,MORTGAGE,8.0,EDUCATION,A,8500,7.14,0,0.2,N,4
5347,23,45000,MORTGAGE,8.0,VENTURE,B,13000,10.99,0,0.29,N,2
14817,25,115000,MORTGAGE,4.0,VENTURE,C,25000,12.53,0,0.22,Y,4
22576,29,35000,RENT,6.0,MEDICAL,B,7300,11.71,0,0.21,N,9
1790,21,23040,RENT,3.0,MEDICAL,C,2000,13.11,0,0.09,Y,2
12052,24,79000,MORTGAGE,4.0,PERSONAL,A,8000,5.99,0,0.1,N,3
18550,27,24000,OWN,4.0,EDUCATION,C,4000,12.99,0,0.17,N,6
27559,27,150000,MORTGAGE,4.0,VENTURE,C,6000,13.49,0,0.04,N,6
30380,37,89532,RENT,9.0,MEDICAL,B,6600,12.53,0,0.07,N,12
23454,28,30000,RENT,0.0,PERSONAL,B,8400,11.89,0,0.28,N,10
9300,21,61000,MORTGAGE,6.0,PERSONAL,C,6000,,0,0.1,N,3
22785,27,51996,RENT,7.0,HOMEIMPROVEMENT,C,7600,14.17,0,0.15,N,8
17535,23,40000,RENT,7.0,VENTURE,B,10000,10.36,0,0.25,N,3
31467,39,40800,RENT,4.0,MEDICAL,D,14000,16.0,1,0.34,Y,17
3433,25,36400,MORTGAGE,4.0,VENTURE,C,11000,12.29,0,0.3,N,3
31626,45,115000,MORTGAGE,8.0,VENTURE,A,8000,8.94,0,0.07,N,11
24720,29,75000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,14400,13.92,0,0.19,N,9
12991,25,85000,RENT,5.0,DEBTCONSOLIDATION,B,12000,12.42,0,0.14,N,4
13819,22,96000,MORTGAGE,3.0,VENTURE,B,5000,10.99,0,0.05,N,4
16674,25,50000,MORTGAGE,0.0,VENTURE,A,2600,6.03,0,0.05,N,3
3155,25,36000,MORTGAGE,1.0,MEDICAL,A,5100,8.9,0,0.14,N,4
4680,22,42000,OWN,3.0,VENTURE,A,7000,,0,0.17,N,3
20293,32,75250,RENT,1.0,DEBTCONSOLIDATION,C,4000,12.99,0,0.05,N,7
30329,42,55392,RENT,17.0,DEBTCONSOLIDATION,D,7000,15.95,1,0.13,Y,15
5264,25,45000,MORTGAGE,4.0,VENTURE,C,10400,14.27,0,0.23,Y,2
14757,24,114000,MORTGAGE,8.0,VENTURE,B,4000,,0,0.04,N,2
20255,27,54000,RENT,4.0,PERSONAL,C,4000,12.61,0,0.07,Y,6
30904,40,70000,MORTGAGE,6.0,MEDICAL,A,18000,7.9,0,0.26,N,12
